"","Odds.Ratio","Beta","Odds.Ratio.Unaffiliated","Beta_Unaffiliated"
"Intercept","0.049","-3.018 (-4.172 - -1.875)*","0.052","-2.955 (-4.266 - -1.653)*"
"Close Matrilineal Kin","1.14","0.131 (0.01 - 0.253)*","1.108","0.102 (-0.035 - 0.241)"
"Close Non-Matrilineal Kin","0.999","-0.001 (-0.057 - 0.056)","0.936","-0.066 (-0.133 - 0.001)"
"Distant Kin","1.007","0.007 (-0.026 - 0.04)","1.004","0.004 (-0.032 - 0.041)"
"Foraging: Mixed","1.054","0.053 (-0.271 - 0.377)","1.079","0.076 (-0.291 - 0.445)"
"Foraging: Sponging","0.224","-1.497 (-2.038 - -0.982)*","0.231","-1.464 (-2.101 - -0.87)*"
"Foraging: Seagrass","1.037","0.037 (-0.385 - 0.462)","0.742","-0.299 (-0.806 - 0.206)"
"Provisioning","0.36","-1.022 (-1.729 - -0.327)*","0.338","-1.086 (-1.983 - -0.237)*"
"Age (yrs)","0.979","-0.021 (-0.042 - -0.001)*","0.982","-0.018 (-0.042 - 0.005)"
"log(Number Observations)","1.235","0.211 (-0.063 - 0.488)","1.193","0.177 (-0.136 - 0.492)"
"Years Observed","1.023","0.023 (-0.056 - 0.102)","1.006","0.006 (-0.085 - 0.096)"
